"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000000035912","자기 앞의 生","에밀 아자르 지음","문학동네","2003","8982816631","8","9"
"000001620018","작별 곁에서 :신경숙 연작소설","신경숙 지음","창비","2023","9788936439019","8","9"
"000001359825","지적 대화를 위한 넓고 얕은 지식 .2 ,현실 너머-철학?과학?예술?종교?신비","채사장 지음","웨일북(Whale Books)","2020","9791190313193","0","9"
"000000034286","채식주의자 :한강 연작소설","한강 지음","창비","2007","9788936433598","8","9"
"000001397272","칵테일, 러브, 좀비","조예은 지음","안전가옥","2020","9791190174756","8","9"
"000001332798","코스모스 :특별판","칼 세이건 지음","사이언스북스","2006","9788983711892","4","9"
"000001524922","(1일 1로그 100일 완성) IT 지식 :하드웨어, 소프트웨어, 통신, 데이터, 4가지 IT 근육으로 디지털 문해력 기르기","브라이언 W. 커니핸 지음","인사이트","2021","9788966263301","0","8"
"000001590013","(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업","김미경 지음","Awake Books: 엠케이유니버스","2023","9791198013026","3","8"
"000001334947","(쿠키런(Cookierun)) 세계사 .3 ,고대 그리스 : 아테네, 스파르타, 알렉산더 대왕","동림스토리 글","서울문화사","2019","9791164380992","9","8"
"000001571518","가녀장의 시대 :이슬아 장편소설","이슬아 지음","이야기장수: 문학동네","2022","9788954688796","8","8"
"000001329643","그릿 :IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘","앤절라 더크워스 지음","비즈니스북스","2019","9791162540633","3","8"
"000001589816","금리의 역습 :금리는 어떻게 부의 질서를 뒤흔드는가","에드워드 챈슬러 지음","위즈덤하우스","2023","9791168125582","3","8"
"000001629521","나는 앞으로 몇 번의 보름달을 볼 수 있을까","류이치 사카모토 지음","위즈덤하우스","2023","9791168126541","8","8"
"000001462551","돈의 심리학 :당신은 왜 부자가 되지 못했는가","모건 하우절 지음","인플루엔셜","2021","9791191056372","3","8"
"000001635187","마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업","강용수 지음","유노북스: 유노콘텐츠그룹","2023","9791192300818","1","8"
"000000313467","망원동 브라더스 :김호연 장편소설","김호연 지음","나무옆의자","2013","9788997962129","8","8"
"000001591521","메리골드 마음 세탁소 :윤정은 장편소설 =Marigold mind laundry","윤정은 지음","북로망스","2023","9791191891287","8","8"
"000000308691","모순 :양귀자 소설","양귀자 지음","쓰다","2013","9788998441012","8","8"
"000001631870","바다가 들리는 편의점 .2","마치다 소노코 지음","모모 : 바이포엠 스튜디오","2023","9791192579887","8","8"
"000001526199","백광 :렌조 미키히코 장편소설","렌조 미키히코 지음","모모: 바이포엠 스튜디오","2022","9791191043617","8","8"
"000001591423","사장학개론 =An introduction to business management","김승호 지음","Snowfox(스노우폭스북스)","2023","9791188331888","3","8"
"000001589706","세이노의 가르침 :피보다 진하게 살아라","세이노 지음","데이원","2023","9791168473690","1","8"
"000001591447","수확자 :닐 셔스터먼 장편소설","닐 셔스터먼 지음","열린책들","2023","9788932923048","8","8"
"000001384503","시선으로부터, :정세랑 장편소설","정세랑 지음","문학동네","2020","9788954672214","8","8"
"000001562882","아몬드 :손원평 장편소설","손원평 지음","창비","2022","9788936438753","8","8"
"000001280279","아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가","제임스 클리어 지음","비즈니스북스","2019","9791162540640","1","8"
"000001525236","어서 오세요, 휴남동 서점입니다 :황보름 장편소설","황보름 지음","클레이하우스","2022","9791197377143","8","8"
"000001626187","유연함의 힘 :유연함으로 쓰는 새로운 성장 공식","수잔 애쉬포드 지음","상상스퀘어","2023","9791192389073","3","8"
"000000706722","정의란 무엇인가","마이클 샌델 [저]","와이즈베리 : 미래엔","2014","9788937834790","1","8"
"000001629723","종소리 :닐 셔스터먼 장편소설","닐 셔스터먼 지음","열린책들","2023","9788932923062","8","8"
"000001638019","종종 여행 떠나는 카페","곤도 후미에 지음","황소자리 출판사","2023","9791191290295","8","8"
"000000920583","지리의 힘 :지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가","팀 마샬 지음","사이","2016","9788993178692","3","8"
"000001359824","지적 대화를 위한 넓고 얕은 지식 .1 ,현실-역사?경제?정치?사회?윤리","채사장 지음","웨일북(Whale Books)","2020","9791190313186","0","8"
"000000821139","직업으로서의 소설가 :무라카미 하루키 자전적 에세이","무라카미 하루키 지음","현대문학","2016","9788972757719","8","8"
"000001555896","채식주의자 :한강 장편소설","한강 지음","창비","2022","9788936434595","8","8"
"000001300732","체리새우 :비밀글입니다 : 황영미 장편소설","황영미 지음","문학동네","2019","9788954654753","8","8"
"000001031732","친밀한 이방인 :정한아 장편소설","정한아 지음","문학동네","2017","9788954648523","8","8"
"000000334677","타인의 고통","수전 손택 지음","이후","2011","9788988105726","3","8"
"000001516471","(서울 자가에 대기업 다니는) 김 부장 이야기 .3 ,송 과장 편","송희구 지음","서삼독","2021","9791165344221","3","7"
"000000963992","(송사무장의 부동산) 경매의 기술","송희창 지음","지혜로","2017","9791187799023","3","7"
"000001360299","(신비아파트) 공포인공지능탈출 :AI 과학 상식","박동명 글","서울문화사","2019","9791164380978","4","7"
"000001637933","(완벽한 자유와 부를 만드는) 인생투자 :당신의 투자에 꺾이지 않는 힘을 실어줄 반등의 철학","우석 지음","Openmind(오픈마인드)","2023","9791196851224","3","7"
"000001511662","1차원이 되고 싶어 :박상영 장편소설","박상영 지음","문학동네","2021","9788954682749","8","7"
"000001065517","7년의 밤 :정유정 장편소설","정유정 지음","은행나무","2011","9788956604992","8","7"
"000001632255","경제적자유 :돈의알고리즘","벤 칼슨","인사이트앤뷰","2023","9791185785516","3","7"
"000000178784","그대들, 어떻게 살 것인가","요시노 겐자부로 지음","양철북출판사","2012","9788963720654","1","7"
"000001304062","나는 소망한다 내게 금지된 것을 :양귀자 장편소설","양귀자 [지음]","쓰다","2019","9788998441074","8","7"
"000001383674","나답게 살고 있습니다 :수짱의 인생","마스다 미리 만화","이봄","2020","9791190582278","8","7"
"000001612302","나의 돈 많은 고등학교 친구 :슈퍼리치와의 대화에서 찾아낸 부자의 길","송희구 지음","서삼독","2023","9791165347161","3","7"
"000001012233","나의 문화유산답사기 .9 ,서울편1 : 만천명월 주인옹은 말한다","유홍준 지음","창비","2017","9788936474393","9","7"
"000001575448","나의 문화유산답사기 :내 고향 서울 이야기 .11 ,서울편 3 : 사대문 안동네","유홍준 지음","창비","2022","9788936479190","9","7"
"000001629053","너무나 많은 여름이","김연수 지음","레제","2023","9791196722012","8","7"
